
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:55040        127.0.0.1:54892        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:54899        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:59780        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:59893        CLOSE_WAIT      3792
  TCP    127.0.0.1:59780        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:59893        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    192.168.238.124:50068  40.103.5.70:443        ESTABLISHED     12524
  TCP    192.168.238.124:50085  40.103.5.70:443        ESTABLISHED     11704
  TCP    192.168.238.124:50181  40.103.5.86:443        ESTABLISHED     11704
  TCP    192.168.238.124:50247  52.114.128.9:443       CLOSE_WAIT      9228
  TCP    192.168.238.124:50248  52.114.128.9:443       CLOSE_WAIT      9228
  TCP    192.168.238.124:50255  198.252.206.25:443     TIME_WAIT       0
  TCP    192.168.238.124:50256  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50258  40.103.15.214:443      ESTABLISHED     10576
  TCP    192.168.238.124:50268  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50269  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50280  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50281  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50282  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50283  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50284  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50287  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50292  23.45.137.186:443      ESTABLISHED     3792
  TCP    192.168.238.124:50294  208.87.238.169:443     ESTABLISHED     6892
  TCP    192.168.238.124:50309  23.41.151.96:443       ESTABLISHED     3792
  TCP    192.168.238.124:50322  23.45.137.186:443      ESTABLISHED     3792
  TCP    192.168.238.124:50356  151.101.0.175:443      ESTABLISHED     3792
  TCP    192.168.238.124:50363  40.108.25.8:443        TIME_WAIT       0
  TCP    192.168.238.124:50369  23.41.151.96:443       ESTABLISHED     3792
  TCP    192.168.238.124:50377  54.152.81.81:443       TIME_WAIT       0
  TCP    192.168.238.124:50436  34.200.96.209:443      TIME_WAIT       0
  TCP    192.168.238.124:50465  54.227.237.11:443      TIME_WAIT       0
  TCP    192.168.238.124:50467  54.227.237.11:443      TIME_WAIT       0
  TCP    192.168.238.124:50469  54.227.237.11:443      TIME_WAIT       0
  TCP    192.168.238.124:50471  54.227.237.11:443      TIME_WAIT       0
  TCP    192.168.238.124:50477  23.45.137.186:443      ESTABLISHED     3792
  TCP    192.168.238.124:50485  54.227.237.11:443      TIME_WAIT       0
  TCP    192.168.238.124:50500  23.41.151.96:443       ESTABLISHED     3792
  TCP    192.168.238.124:50516  23.45.136.43:80        ESTABLISHED     3792
  TCP    192.168.238.124:50565  40.103.15.214:443      ESTABLISHED     11704
  TCP    192.168.238.124:50571  104.104.24.86:443      ESTABLISHED     3792
  TCP    192.168.238.124:50579  63.251.252.12:443      ESTABLISHED     3792
  TCP    192.168.238.124:50583  104.104.48.172:443     ESTABLISHED     3792
  TCP    192.168.238.124:50589  23.45.138.178:443      TIME_WAIT       0
  TCP    192.168.238.124:50591  104.104.48.172:443     ESTABLISHED     3792
  TCP    192.168.238.124:50595  34.241.46.229:443      TIME_WAIT       0
  TCP    192.168.238.124:50608  40.108.25.8:443        TIME_WAIT       0
  TCP    192.168.238.124:50624  23.41.151.96:443       TIME_WAIT       0
  TCP    192.168.238.124:50626  52.84.178.164:443      ESTABLISHED     3792
  TCP    192.168.238.124:50628  23.12.119.214:443      ESTABLISHED     3792
  TCP    192.168.238.124:50634  52.84.174.22:443       ESTABLISHED     3792
  TCP    192.168.238.124:50644  63.241.108.104:443     TIME_WAIT       0
